proxy,protocol,latency_ms,https,exit_ip,checks_passed,checks_total
43.209.173.229:25315,http,2165,false,43.209.173.229,1,3
15.161.59.54:2191,http,2185,false,15.161.59.54,1,3
210.211.113.33:80,http,2210,false,210.211.113.33,3,3
47.251.87.74:20125,http,2219,false,47.251.87.74,1,3
40.177.104.199:9052,http,2241,false,40.177.104.199,1,3
47.251.87.74:8080,http,2272,false,47.251.87.74,1,3
47.74.46.81:8047,http,2278,false,47.74.46.81,1,3
174.138.165.202:36219,http,2286,false,76.50.153.30,1,3
15.229.231.89:10008,http,2293,false,15.229.231.89,1,3
41.220.16.219:80,http,2321,false,41.220.17.62,3,3
35.182.12.78:44735,http,2350,false,35.182.12.78,1,3
47.89.159.212:9080,http,2358,false,47.89.159.212,1,3
35.78.212.217:33329,http,2363,false,35.78.212.217,1,3
43.208.237.116:12287,http,2370,false,43.208.237.116,1,3
8.209.96.245:4002,http,2386,false,8.209.96.245,1,3
56.68.116.64:18398,http,2455,false,56.68.116.64,1,3
8.215.3.250:9080,http,2461,false,8.215.3.250,1,3
8.220.205.172:9098,http,2499,false,8.220.205.172,1,3
8.211.42.167:20,http,2504,false,8.211.42.167,1,3
8.211.42.167:25565,http,2551,false,8.211.42.167,1,3
27.109.207.84:80,http,2577,false,27.109.207.84,1,3
139.224.186.221:100,http,2604,false,139.224.186.221,2,3
47.91.89.3:3129,http,2620,false,47.91.89.3,1,3
47.74.46.81:8888,http,2623,false,47.74.46.81,1,3
106.14.104.220:9080,http,2631,false,106.14.104.220,1,3
47.237.2.245:8083,http,2632,false,47.237.2.245,1,3
47.100.73.178:8000,http,2641,false,47.100.73.178,2,3
47.116.210.163:3128,http,2642,false,47.116.210.163,1,3
8.130.36.163:5000,http,2644,false,8.130.36.163,1,3
47.237.92.86:1080,http,2655,false,47.237.92.86,1,3
47.91.29.151:1080,http,2656,false,47.91.29.151,1,3
47.95.206.224:45088,http,2658,false,171.110.132.210,3,3
13.60.181.61:443,http,2663,false,13.60.181.61,1,3
47.237.92.86:8080,http,2666,false,47.237.92.86,1,3
8.215.15.163:8888,http,2675,false,8.215.15.163,1,3
47.76.144.139:443,http,2684,false,47.76.144.139,1,3
101.132.249.207:6588,http,2694,false,101.132.249.207,1,3
39.102.209.128:8081,http,2696,false,39.102.209.128,1,3
47.116.126.57:8443,http,2701,false,47.116.126.57,1,3
178.57.107.143:8080,http,2717,false,178.57.107.143,1,3
139.224.186.221:59394,http,2719,false,139.224.186.221,1,3
8.130.36.163:9098,http,2729,false,8.130.36.163,1,3
39.102.208.189:8081,http,2729,false,39.102.208.189,1,3
39.102.209.163:9999,http,2730,false,39.102.209.163,1,3
47.91.121.127:5060,http,2731,false,47.91.121.127,1,3
121.43.109.88:8081,http,2745,false,121.43.109.88,1,3
47.106.198.144:1080,http,2750,false,47.106.198.144,1,3
197.221.240.246:80,http,2752,false,41.220.17.62,3,3
47.91.29.151:41451,http,2753,false,47.91.29.151,1,3
121.43.154.123:9080,http,2755,false,121.43.154.123,1,3
101.132.252.152:1337,http,2760,false,101.132.252.152,2,3
39.104.69.76:9080,http,2771,false,39.104.69.76,1,3
16.26.143.154:22183,http,2776,false,16.26.143.154,1,3
8.221.138.111:111,http,2779,false,8.221.138.111,1,3
47.92.82.167:1081,http,2780,false,47.92.82.167,2,3
39.102.209.128:8089,http,2795,false,39.102.209.128,1,3
47.120.0.231:9098,http,2808,false,47.120.0.231,1,3
8.138.131.110:8443,http,2812,false,8.138.131.110,2,3
47.109.83.196:8080,http,2814,false,47.109.83.196,1,3
8.219.229.53:3128,http,2815,false,8.219.229.53,1,3
43.207.141.180:19057,http,2843,false,43.207.141.180,2,3
39.102.213.213:9098,http,2851,false,39.102.213.213,1,3
47.238.60.156:5060,http,2852,false,47.238.60.156,1,3
8.148.22.214:2000,http,2859,false,8.148.22.214,1,3
39.102.214.192:6379,http,2864,false,199.72.57.76,2,3
137.116.142.82:80,http,2866,false,137.116.142.82,3,3
8.130.54.67:8081,http,2889,false,8.130.54.67,1,3
185.205.210.154:8102,http,2895,false,5.254.60.90,3,3
120.26.104.146:9098,http,2900,false,120.26.104.146,1,3
106.15.58.163:8123,http,2904,false,106.15.58.163,1,3
8.221.139.222:9098,http,2926,false,8.221.139.222,1,3
39.100.88.89:9080,http,2952,false,39.100.88.89,1,3
39.102.214.199:8081,http,2959,false,39.102.214.199,1,3
8.148.4.166:3128,http,2963,false,8.148.4.166,1,3
45.240.232.61:8080,http,2964,false,45.240.232.61,1,3
47.104.28.135:8081,http,2980,false,47.104.28.135,1,3
120.26.52.35:808,http,2986,false,120.26.52.35,2,3
114.215.127.92:9100,http,2994,false,114.215.127.92,1,3
47.92.194.235:20000,http,3021,false,47.92.194.235,2,3
120.26.104.146:3128,http,3027,false,120.26.104.146,1,3
47.107.166.143:1337,http,3032,false,47.107.166.143,2,3
120.25.189.254:5060,http,3039,false,120.25.189.254,1,3
8.220.205.172:1080,http,3041,false,8.220.205.172,1,3
47.92.143.92:80,http,3073,false,47.92.143.92,1,3
106.15.137.41:3129,http,3080,false,106.15.137.41,1,3
8.221.141.88:3129,http,3091,false,8.221.141.88,1,3
39.102.213.50:8080,http,3097,false,39.102.213.50,1,3
47.112.15.44:8080,http,3110,false,47.112.15.44,1,3
101.132.249.207:9080,http,3111,false,101.132.249.207,1,3
116.204.166.46:8080,http,3134,false,116.204.166.46,2,3
8.130.90.177:8888,http,3139,false,8.130.90.177,2,3
47.251.87.199:8008,http,3150,false,47.251.87.199,1,3
8.212.168.170:5060,http,3168,false,8.212.168.170,1,3
8.220.136.174:8011,http,3180,false,8.220.136.174,1,3
8.220.136.174:12000,http,3183,false,8.220.136.174,1,3
14.225.240.23:8562,http,3184,false,14.225.240.23,1,3
47.112.11.170:3128,http,3194,false,47.112.11.170,2,3
8.146.200.53:80,http,3195,false,8.146.200.53,2,3
39.102.214.152:8081,http,3203,false,39.102.214.152,1,3
8.138.133.207:8081,http,3225,false,8.138.133.207,1,3
39.104.27.89:8888,http,3245,false,39.104.27.89,1,3
8.134.149.133:9080,http,3253,false,8.134.149.133,2,3
8.220.136.174:8999,http,3269,false,8.220.136.174,1,3
39.102.211.64:9098,http,3271,false,39.102.211.64,1,3
8.220.141.8:4145,http,3298,false,8.220.141.8,1,3
47.106.216.202:8181,http,3302,false,47.106.216.202,2,3
47.112.15.44:8081,http,3304,false,47.112.15.44,2,3
8.211.51.115:90,http,3309,false,8.211.51.115,1,3
47.237.107.41:1080,http,3312,false,47.237.107.41,1,3
120.79.217.196:9000,http,3335,false,120.79.217.196,1,3
47.91.110.148:1081,http,3339,false,47.91.110.148,1,3
